ticker,company_name,year,target,source_class,ttc_logit,ttc_ensemble,ttc_best_model
000997.SZ,NEWLAND,2014,0,active,0.00023034315652375887,0.0,Random Forest
000997.SZ,NEWLAND,2015,0,active,0.0002387706001996408,0.0,Random Forest
000997.SZ,NEWLAND,2016,0,active,8.20030134597325e-05,0.0,Random Forest
000997.SZ,NEWLAND,2017,0,active,0.0064717660113697735,0.0,Random Forest
000997.SZ,NEWLAND,2018,0,active,0.004650769446598016,0.0,Random Forest
000997.SZ,NEWLAND,2019,0,active,0.00019399518527678738,0.0,Random Forest
000997.SZ,NEWLAND,2020,0,active,0.0002831151055721851,0.0,Random Forest
000997.SZ,NEWLAND,2021,0,active,0.00013758149011589062,0.0,Random Forest
000997.SZ,NEWLAND,2022,0,active,0.00014942869471795632,0.0,Random Forest
000997.SZ,NEWLAND,2023,0,active,0.0003209335230555588,0.0,Random Forest
000997.SZ,NEWLAND,2024,0,active,0.00022812342198064953,0.0,Random Forest
002063.SZ,YGSOFT,2014,0,active,0.0002137214703075264,0.0,Random Forest
002063.SZ,YGSOFT,2015,0,active,0.00041951500901334744,0.0,Random Forest
002063.SZ,YGSOFT,2016,0,active,0.0002139509331649746,0.0,Random Forest
002063.SZ,YGSOFT,2017,0,active,0.00017177757474157849,0.0,Random Forest
002063.SZ,YGSOFT,2018,0,active,0.00023661797230717997,0.0,Random Forest
002063.SZ,YGSOFT,2019,0,active,5.3383582159671286e-05,0.0,Random Forest
002063.SZ,YGSOFT,2020,0,active,2.1263058387957104e-05,0.0,Random Forest
002063.SZ,YGSOFT,2021,0,active,2.3619742411482655e-05,0.0,Random Forest
002063.SZ,YGSOFT,2022,0,active,1.7655479137146655e-05,0.0,Random Forest
002063.SZ,YGSOFT,2023,0,active,1.8022135501383869e-06,0.0,Random Forest
002063.SZ,YGSOFT,2024,0,active,1.5737169047464932e-05,0.0,Random Forest
002065.SZ,DHCC,2014,0,active,0.00022911822967570174,0.0,Random Forest
002065.SZ,DHCC,2015,0,active,0.0005479908714457325,0.0,Random Forest
002065.SZ,DHCC,2016,0,active,0.0002768647349609093,0.0,Random Forest
002065.SZ,DHCC,2017,0,active,0.0002297272303543589,0.0,Random Forest
002065.SZ,DHCC,2018,0,active,0.0003395737601117292,0.0,Random Forest
002065.SZ,DHCC,2019,0,active,0.0003042822887535567,0.0,Random Forest
002065.SZ,DHCC,2020,0,active,0.0003982511463323452,0.0,Random Forest
002065.SZ,DHCC,2021,0,active,0.00033886155325993497,0.0,Random Forest
002065.SZ,DHCC,2022,0,active,0.00036841999060065357,0.0,Random Forest
002065.SZ,DHCC,2023,0,active,0.00031530492932692057,0.0,Random Forest
002065.SZ,DHCC,2024,0,active,0.0006119508245798982,0.0,Random Forest
002095.SZ,NETSUN,2014,0,active,0.131757735592926,0.005,Random Forest
002095.SZ,NETSUN,2015,0,active,0.3545795355893209,0.0370895684233856,Random Forest
002095.SZ,NETSUN,2016,0,active,0.09809395700375297,0.012363646335886354,Random Forest
002095.SZ,NETSUN,2017,0,active,0.03927110899742265,0.002432287954383464,Random Forest
002095.SZ,NETSUN,2018,0,active,0.03209574932191479,0.002465679190751445,Random Forest
002095.SZ,NETSUN,2019,0,active,0.027359106835958064,0.007380688134585619,Random Forest
002095.SZ,NETSUN,2020,0,active,0.061914750104129564,0.009732723028822445,Random Forest
002095.SZ,NETSUN,2021,0,active,0.04753911834196916,0.014728222244653285,Random Forest
002095.SZ,NETSUN,2022,0,active,0.07270311384152514,0.014630690173957355,Random Forest
002095.SZ,NETSUN,2023,0,active,0.11732224826545562,0.06870596716196055,Random Forest
002095.SZ,NETSUN,2024,0,active,0.12387283867842568,0.08299632331048645,Random Forest
002148.SZ,BEWINNER TECH,2014,0,active,0.12720449163079667,0.0,Random Forest
002148.SZ,BEWINNER TECH,2015,0,active,0.3735395571818495,0.0,Random Forest
002148.SZ,BEWINNER TECH,2016,0,active,0.1300764665010774,0.0,Random Forest
002148.SZ,BEWINNER TECH,2017,0,active,0.07244933073901706,0.0,Random Forest
002148.SZ,BEWINNER TECH,2018,0,active,0.10257936646217578,0.0,Random Forest
002148.SZ,BEWINNER TECH,2019,0,active,0.1649061649281252,0.0,Random Forest
002148.SZ,BEWINNER TECH,2020,0,active,0.34937316997441875,0.0025,Random Forest
002148.SZ,BEWINNER TECH,2021,0,active,0.3183510949987271,0.0,Random Forest
